Unique Bond No,URN,Journal Date,Date of Purchase,Date of Expiry,Name of the Purchaser,Denominations,Issue Branch Code,Issue Teller,Status
OL3008,00691202110070000001948,2021-10-07,2021-10-07,2021-10-21,MONIKA,100000,691,3428540,Paid
OL1486,00001202110070000001969,2021-10-07,2021-10-07,2021-10-21,NARAYAN PODDAR,100000,1,6405134,Paid
OL1492,00001202110070000001969,2021-10-07,2021-10-07,2021-10-21,NARAYAN PODDAR,100000,1,6405134,Paid
OL1484,00001202110070000001969,2021-10-07,2021-10-07,2021-10-21,NARAYAN PODDAR,100000,1,6405134,Paid
OL1488,00001202110070000001969,2021-10-07,2021-10-07,2021-10-21,NARAYAN PODDAR,100000,1,6405134,Paid
OL1490,00001202110070000001969,2021-10-07,2021-10-07,2021-10-21,NARAYAN PODDAR,100000,1,6405134,Paid
OL29502,00001202110070000001981,2021-10-07,2021-10-07,2021-10-21,NEERAJ GANDHI,100000,1,6405134,Paid
OL29504,00001202110070000001981,2021-10-07,2021-10-07,2021-10-21,NEERAJ GANDHI,100000,1,6405134,Paid
OL29513,00001202110070000001981,2021-10-07,2021-10-07,2021-10-21,NEERAJ GANDHI,100000,1,6405134,Paid
OL3005,00691202110070000001947,2021-10-07,2021-10-07,2021-10-21,NITIN BANSAL,100000,691,3428540,Paid
OL3275,00691202110070000001947,2021-10-07,2021-10-07,2021-10-21,NITIN BANSAL,100000,691,3428540,Paid
OL3279,00691202110070000001947,2021-10-07,2021-10-07,2021-10-21,NITIN BANSAL,100000,691,3428540,Paid
OL3007,00691202110070000001947,2021-10-07,2021-10-07,2021-10-21,NITIN BANSAL,100000,691,3428540,Paid
OL3003,00691202110070000001947,2021-10-07,2021-10-07,2021-10-21,NITIN BANSAL,100000,691,3428540,Paid
OC9138,00300202110070000001974,2021-10-07,2021-10-07,2021-10-21,PALM SHELTER ESTATE DEVELOPMENT LL,10000000,300,7905165,Paid
OC9136,00300202110070000001974,2021-10-07,2021-10-07,2021-10-21,PALM SHELTER ESTATE DEVELOPMENT LL,10000000,300,7905165,Paid
OL1479,00001202110070000001965,2021-10-07,2021-10-07,2021-10-21,PRAKASH DISTILLERY & CHEMICAL CO (P) LT  D,100000,1,6405134,Paid
OL1489,00001202110070000001965,2021-10-07,2021-10-07,2021-10-21,PRAKASH DISTILLERY & CHEMICAL CO (P) LT  D,100000,1,6405134,Paid
OL1485,00001202110070000001965,2021-10-07,2021-10-07,2021-10-21,PRAKASH DISTILLERY & CHEMICAL CO (P) LT  D,100000,1,6405134,Paid
OL1487,00001202110070000001965,2021-10-07,2021-10-07,2021-10-21,PRAKASH DISTILLERY & CHEMICAL CO (P) LT  D,100000,1,6405134,Paid
OL1475,00001202110070000001965,2021-10-07,2021-10-07,2021-10-21,PRAKASH DISTILLERY & CHEMICAL CO (P) LT  D,100000,1,6405134,Paid
OL1481,00001202110070000001965,2021-10-07,2021-10-07,2021-10-21,PRAKASH DISTILLERY & CHEMICAL CO (P) LT  D,100000,1,6405134,Paid
OL1483,00001202110070000001965,2021-10-07,2021-10-07,2021-10-21,PRAKASH DISTILLERY & CHEMICAL CO (P) LT  D,100000,1,6405134,Paid
OL1477,00001202110070000001965,2021-10-07,2021-10-07,2021-10-21,PRAKASH DISTILLERY & CHEMICAL CO (P) LT  D,100000,1,6405134,Paid
OL1473,00001202110070000001965,2021-10-07,2021-10-07,2021-10-21,PRAKASH DISTILLERY & CHEMICAL CO (P) LT  D,100000,1,6405134,Paid
OL1480,00001202110070000001968,2021-10-07,2021-10-07,2021-10-21,PRAMOD BAJORIA,100000,1,6405134,Paid
OL1478,00001202110070000001968,2021-10-07,2021-10-07,2021-10-21,PRAMOD BAJORIA,100000,1,6405134,Paid
OL1476,00001202110070000001968,2021-10-07,2021-10-07,2021-10-21,PRAMOD BAJORIA,100000,1,6405134,Paid
OL1482,00001202110070000001968,2021-10-07,2021-10-07,2021-10-21,PRAMOD BAJORIA,100000,1,6405134,Paid
OL1474,00001202110070000001968,2021-10-07,2021-10-07,2021-10-21,PRAMOD BAJORIA,100000,1,6405134,Paid
OC9418,00001202110070000001966,2021-10-07,2021-10-07,2021-10-21,PRB SECURITIES PVT LTD,10000000,1,6405134,Paid
OC9416,00001202110070000001966,2021-10-07,2021-10-07,2021-10-21,PRB SECURITIES PVT LTD,10000000,1,6405134,Paid
TL14231,00001202110070000001966,2021-10-07,2021-10-07,2021-10-21,PRB SECURITIES PVT LTD,1000000,1,6405134,Paid
TL14233,00001202110070000001966,2021-10-07,2021-10-07,2021-10-21,PRB SECURITIES PVT LTD,1000000,1,6405134,Paid
OC9134,00300202110070000001972,2021-10-07,2021-10-07,2021-10-21,RAGHUKOOL ESTATE DEVELOPMENT LLP,10000000,300,7905165,Paid
OC9132,00300202110070000001972,2021-10-07,2021-10-07,2021-10-21,RAGHUKOOL ESTATE DEVELOPMENT LLP,10000000,300,7905165,Paid
OL3016,00691202110070000001950,2021-10-07,2021-10-07,2021-10-21,RAHUL GUPTA,100000,691,3428540,Paid
OL3018,00691202110070000001950,2021-10-07,2021-10-07,2021-10-21,RAHUL GUPTA,100000,691,3428540,Paid
OL3020,00691202110070000001950,2021-10-07,2021-10-07,2021-10-21,RAHUL GUPTA,100000,691,3428540,Paid
OL3022,00691202110070000001950,2021-10-07,2021-10-07,2021-10-21,RAHUL GUPTA,100000,691,3428540,Paid
OL1454,00001202110070000001958,2021-10-07,2021-10-07,2021-10-21,RAJESH KUMAR AGARWAL,100000,1,6405134,Paid
OL1462,00001202110070000001958,2021-10-07,2021-10-07,2021-10-21,RAJESH KUMAR AGARWAL,100000,1,6405134,Paid
OL1456,00001202110070000001958,2021-10-07,2021-10-07,2021-10-21,RAJESH KUMAR AGARWAL,100000,1,6405134,Paid
OL1460,00001202110070000001958,2021-10-07,2021-10-07,2021-10-21,RAJESH KUMAR AGARWAL,100000,1,6405134,Paid
OL1458,00001202110070000001958,2021-10-07,2021-10-07,2021-10-21,RAJESH KUMAR AGARWAL,100000,1,6405134,Paid
OL1466,00001202110070000001958,2021-10-07,2021-10-07,2021-10-21,RAJESH KUMAR AGARWAL,100000,1,6405134,Paid
OL1464,00001202110070000001958,2021-10-07,2021-10-07,2021-10-21,RAJESH KUMAR AGARWAL,100000,1,6405134,Paid
OL29505,00001202110070000001976,2021-10-07,2021-10-07,2021-10-21,RAJESH SHARMA,100000,1,6405134,Paid
OL29511,00001202110070000001976,2021-10-07,2021-10-07,2021-10-21,RAJESH SHARMA,100000,1,6405134,Paid
OL29507,00001202110070000001976,2021-10-07,2021-10-07,2021-10-21,RAJESH SHARMA,100000,1,6405134,Paid
OL29501,00001202110070000001976,2021-10-07,2021-10-07,2021-10-21,RAJESH SHARMA,100000,1,6405134,Paid
OL29503,00001202110070000001976,2021-10-07,2021-10-07,2021-10-21,RAJESH SHARMA,100000,1,6405134,Paid
OL1500,00001202110070000001976,2021-10-07,2021-10-07,2021-10-21,RAJESH SHARMA,100000,1,6405134,Paid
OL29509,00001202110070000001976,2021-10-07,2021-10-07,2021-10-21,RAJESH SHARMA,100000,1,6405134,Paid
TL14254,00001202110070000001975,2021-10-07,2021-10-07,2021-10-21,SAGUN TULSYAN,1000000,1,6405134,Paid
OC9431,00001202110070000001977,2021-10-07,2021-10-07,2021-10-21,SALASAR STOCK BROKING LTD-PROPRIETARY,10000000,1,6405134,Paid
OC9433,00001202110070000001977,2021-10-07,2021-10-07,2021-10-21,SALASAR STOCK BROKING LTD-PROPRIETARY,10000000,1,6405134,Paid
OL1452,00001202110070000001957,2021-10-07,2021-10-07,2021-10-21,SANJAY KUMAR SINHA,100000,1,6405134,Paid
OC9432,00001202110070000001980,2021-10-07,2021-10-07,2021-10-21,SENGUPTA AND SENGUPTA PRIVATE LIMIT,10000000,1,6405134,Paid
OC9414,00001202110070000001954,2021-10-07,2021-10-07,2021-10-21,SKP MERCHANTS LLP,10000000,1,6405134,Paid
OC9412,00001202110070000001954,2021-10-07,2021-10-07,2021-10-21,SKP MERCHANTS LLP,10000000,1,6405134,Paid
OC9410,00001202110070000001954,2021-10-07,2021-10-07,2021-10-21,SKP MERCHANTS LLP,10000000,1,6405134,Paid
OC6872,00847202110070000001993,2021-10-07,2021-10-07,2021-10-21,TAVINDER SINGH KOHLI,10000000,847,6417329,Paid
OC9501,00847202110070000001993,2021-10-07,2021-10-07,2021-10-21,TAVINDER SINGH KOHLI,10000000,847,6417329,Paid
OC9502,00847202110070000001993,2021-10-07,2021-10-07,2021-10-21,TAVINDER SINGH KOHLI,10000000,847,6417329,Paid
OC9503,00847202110070000001993,2021-10-07,2021-10-07,2021-10-21,TAVINDER SINGH KOHLI,10000000,847,6417329,Paid
OC6874,00847202110070000001993,2021-10-07,2021-10-07,2021-10-21,TAVINDER SINGH KOHLI,10000000,847,6417329,Paid
OL29533,00001202110070000001989,2021-10-07,2021-10-07,2021-10-21,VIKASH GUPTA,100000,1,6405134,Paid
OL29539,00001202110070000001989,2021-10-07,2021-10-07,2021-10-21,VIKASH GUPTA,100000,1,6405134,Paid
OL29535,00001202110070000001989,2021-10-07,2021-10-07,2021-10-21,VIKASH GUPTA,100000,1,6405134,Paid
OL29537,00001202110070000001989,2021-10-07,2021-10-07,2021-10-21,VIKASH GUPTA,100000,1,6405134,Paid
OL29510,00001202110070000001982,2021-10-07,2021-10-07,2021-10-21,VIKASH NAHATA,100000,1,6405134,Paid
OL29518,00001202110070000001982,2021-10-07,2021-10-07,2021-10-21,VIKASH NAHATA,100000,1,6405134,Paid
OL29512,00001202110070000001982,2021-10-07,2021-10-07,2021-10-21,VIKASH NAHATA,100000,1,6405134,Paid
OL29514,00001202110070000001982,2021-10-07,2021-10-07,2021-10-21,VIKASH NAHATA,100000,1,6405134,Paid
OL29516,00001202110070000001982,2021-10-07,2021-10-07,2021-10-21,VIKASH NAHATA,100000,1,6405134,Paid
OL29506,00001202110070000001982,2021-10-07,2021-10-07,2021-10-21,VIKASH NAHATA,100000,1,6405134,Paid
OL29508,00001202110070000001982,2021-10-07,2021-10-07,2021-10-21,VIKASH NAHATA,100000,1,6405134,Paid
OL29531,00001202110070000001988,2021-10-07,2021-10-07,2021-10-21,VINEET GUPTA,100000,1,6405134,Paid
OL29525,00001202110070000001988,2021-10-07,2021-10-07,2021-10-21,VINEET GUPTA,100000,1,6405134,Paid
OL29527,00001202110070000001988,2021-10-07,2021-10-07,2021-10-21,VINEET GUPTA,100000,1,6405134,Paid
OL29529,00001202110070000001988,2021-10-07,2021-10-07,2021-10-21,VINEET GUPTA,100000,1,6405134,Paid
OL29542,00001202110070000001992,2021-10-07,2021-10-07,2021-10-21,VIVEK AGARWAL,100000,1,6405134,Paid
OL29536,00001202110070000001992,2021-10-07,2021-10-07,2021-10-21,VIVEK AGARWAL,100000,1,6405134,Paid
OL29544,00001202110070000001992,2021-10-07,2021-10-07,2021-10-21,VIVEK AGARWAL,100000,1,6405134,Paid
OL29538,00001202110070000001992,2021-10-07,2021-10-07,2021-10-21,VIVEK AGARWAL,100000,1,6405134,Paid
OL29540,00001202110070000001992,2021-10-07,2021-10-07,2021-10-21,VIVEK AGARWAL,100000,1,6405134,Paid
OC6899,00847202110070000001991,2021-10-07,2021-10-07,2021-10-21,YASHODA SUPER SPECIALITY HOSPITAL,10000000,847,6417329,Paid
OC6897,00847202110070000001991,2021-10-07,2021-10-07,2021-10-21,YASHODA SUPER SPECIALITY HOSPITAL,10000000,847,6417329,Paid
OC6895,00847202110070000001991,2021-10-07,2021-10-07,2021-10-21,YASHODA SUPER SPECIALITY HOSPITAL,10000000,847,6417329,Paid
OC6900,00847202110070000001991,2021-10-07,2021-10-07,2021-10-21,YASHODA SUPER SPECIALITY HOSPITAL,10000000,847,6417329,Paid
OC6893,00847202110070000001991,2021-10-07,2021-10-07,2021-10-21,YASHODA SUPER SPECIALITY HOSPITAL,10000000,847,6417329,Paid
OC6950,00847202110070000001994,2021-10-07,2021-10-07,2021-10-21,YASHODA SUPER SPECIALITY HOSPITAL,10000000,847,6417329,Paid
OC6949,00847202110070000001994,2021-10-07,2021-10-07,2021-10-21,YASHODA SUPER SPECIALITY HOSPITAL,10000000,847,6417329,Paid
OL1449,00001202110070000001956,2021-10-07,2021-10-07,2021-10-21,YOGESH MANPURIA,100000,1,6405134,Paid
OL1461,00001202110070000001956,2021-10-07,2021-10-07,2021-10-21,YOGESH MANPURIA,100000,1,6405134,Paid
OL1451,00001202110070000001956,2021-10-07,2021-10-07,2021-10-21,YOGESH MANPURIA,100000,1,6405134,Paid
OL1459,00001202110070000001956,2021-10-07,2021-10-07,2021-10-21,YOGESH MANPURIA,100000,1,6405134,Paid
OL1453,00001202110070000001956,2021-10-07,2021-10-07,2021-10-21,YOGESH MANPURIA,100000,1,6405134,Paid
OL1455,00001202110070000001956,2021-10-07,2021-10-07,2021-10-21,YOGESH MANPURIA,100000,1,6405134,Paid
OL1457,00001202110070000001956,2021-10-07,2021-10-07,2021-10-21,YOGESH MANPURIA,100000,1,6405134,Paid
OL29599,00001202110080000002023,2021-10-08,2021-10-08,2021-10-22,AMIT AGARWAL,100000,1,6405134,Paid
TT9944,00001202110080000002030,2021-10-08,2021-10-08,2021-10-22,ANAND AGARWAL,10000,1,6405134,Paid
TT9940,00001202110080000002030,2021-10-08,2021-10-08,2021-10-22,ANAND AGARWAL,10000,1,6405134,Paid
TT9932,00001202110080000002030,2021-10-08,2021-10-08,2021-10-22,ANAND AGARWAL,10000,1,6405134,Paid
TT9942,00001202110080000002030,2021-10-08,2021-10-08,2021-10-22,ANAND AGARWAL,10000,1,6405134,Paid
TT9938,00001202110080000002030,2021-10-08,2021-10-08,2021-10-22,ANAND AGARWAL,10000,1,6405134,Paid
TT9934,00001202110080000002030,2021-10-08,2021-10-08,2021-10-22,ANAND AGARWAL,10000,1,6405134,Paid
TT9936,00001202110080000002030,2021-10-08,2021-10-08,2021-10-22,ANAND AGARWAL,10000,1,6405134,Paid
OT5015,00001202110080000002030,2021-10-08,2021-10-08,2021-10-22,ANAND AGARWAL,1000,1,6405134,Paid
OT5021,00001202110080000002030,2021-10-08,2021-10-08,2021-10-22,ANAND AGARWAL,1000,1,6405134,Paid
OT5023,00001202110080000002030,2021-10-08,2021-10-08,2021-10-22,ANAND AGARWAL,1000,1,6405134,Paid
OT5025,00001202110080000002030,2021-10-08,2021-10-08,2021-10-22,ANAND AGARWAL,1000,1,6405134,Paid
OT5028,00001202110080000002030,2021-10-08,2021-10-08,2021-10-22,ANAND AGARWAL,1000,1,6405134,Paid
OL29582,00001202110080000002011,2021-10-08,2021-10-08,2021-10-22,ANIL KUMAR MALAWAT,100000,1,6405134,Paid
OL29586,00001202110080000002011,2021-10-08,2021-10-08,2021-10-22,ANIL KUMAR MALAWAT,100000,1,6405134,Paid
OL29588,00001202110080000002011,2021-10-08,2021-10-08,2021-10-22,ANIL KUMAR MALAWAT,100000,1,6405134,Paid
OL29580,00001202110080000002011,2021-10-08,2021-10-08,2021-10-22,ANIL KUMAR MALAWAT,100000,1,6405134,Paid
OL29584,00001202110080000002011,2021-10-08,2021-10-08,2021-10-22,ANIL KUMAR MALAWAT,100000,1,6405134,Paid
OL29315,00001202110080000002028,2021-10-08,2021-10-08,2021-10-22,ANKIT AGARWAL,100000,1,6405134,Paid
OL29312,00001202110080000002026,2021-10-08,2021-10-08,2021-10-22,ARUN KUMAR JOSHI,100000,1,6405134,Paid
OL29310,00001202110080000002026,2021-10-08,2021-10-08,2021-10-22,ARUN KUMAR JOSHI,100000,1,6405134,Paid
OL29314,00001202110080000002026,2021-10-08,2021-10-08,2021-10-22,ARUN KUMAR JOSHI,100000,1,6405134,Paid
OC9520,00847202110080000002045,2021-10-08,2021-10-08,2021-10-22,BIGC MOBILES PVT LTD,10000000,847,6417329,Paid
OC9519,00847202110080000002045,2021-10-08,2021-10-08,2021-10-22,BIGC MOBILES PVT LTD,10000000,847,6417329,Paid
TL7554,00847202110080000002045,2021-10-08,2021-10-08,2021-10-22,BIGC MOBILES PVT LTD,1000000,847,6417329,Paid
TL7557,00847202110080000002045,2021-10-08,2021-10-08,2021-10-22,BIGC MOBILES PVT LTD,1000000,847,6417329,Paid
TL7556,00847202110080000002045,2021-10-08,2021-10-08,2021-10-22,BIGC MOBILES PVT LTD,1000000,847,6417329,Paid
TL7553,00847202110080000002045,2021-10-08,2021-10-08,2021-10-22,BIGC MOBILES PVT LTD,1000000,847,6417329,Paid
TL7555,00847202110080000002045,2021-10-08,2021-10-08,2021-10-22,BIGC MOBILES PVT LTD,1000000,847,6417329,Paid
OL29556,00001202110080000002002,2021-10-08,2021-10-08,2021-10-22,BIMALA PRASANNA SINGH ROY,100000,1,6405134,Paid
OL29552,00001202110080000002002,2021-10-08,2021-10-08,2021-10-22,BIMALA PRASANNA SINGH ROY,100000,1,6405134,Paid
OL29554,00001202110080000002002,2021-10-08,2021-10-08,2021-10-22,BIMALA PRASANNA SINGH ROY,100000,1,6405134,Paid
OL29558,00001202110080000002002,2021-10-08,2021-10-08,2021-10-22,BIMALA PRASANNA SINGH ROY,100000,1,6405134,Paid
OL29578,00001202110080000002008,2021-10-08,2021-10-08,2021-10-22,BINOD KUMAR AGARWAL,100000,1,6405134,Paid
OL29560,00001202110080000002008,2021-10-08,2021-10-08,2021-10-22,BINOD KUMAR AGARWAL,100000,1,6405134,Paid
OL29562,00001202110080000002008,2021-10-08,2021-10-08,2021-10-22,BINOD KUMAR AGARWAL,100000,1,6405134,Paid
OL29574,00001202110080000002008,2021-10-08,2021-10-08,2021-10-22,BINOD KUMAR AGARWAL,100000,1,6405134,Paid
OL29564,00001202110080000002008,2021-10-08,2021-10-08,2021-10-22,BINOD KUMAR AGARWAL,100000,1,6405134,Paid
OL29568,00001202110080000002008,2021-10-08,2021-10-08,2021-10-22,BINOD KUMAR AGARWAL,100000,1,6405134,Paid
OL29572,00001202110080000002008,2021-10-08,2021-10-08,2021-10-22,BINOD KUMAR AGARWAL,100000,1,6405134,Paid
OL29566,00001202110080000002008,2021-10-08,2021-10-08,2021-10-22,BINOD KUMAR AGARWAL,100000,1,6405134,Paid
OL29570,00001202110080000002008,2021-10-08,2021-10-08,2021-10-22,BINOD KUMAR AGARWAL,100000,1,6405134,Paid
OL29576,00001202110080000002008,2021-10-08,2021-10-08,2021-10-22,BINOD KUMAR AGARWAL,100000,1,6405134,Paid
OC9481,00001202110080000002033,2021-10-08,2021-10-08,2021-10-22,CROCHET TRADE AND INVESTMENT PVT L,10000000,1,6405134,Paid
OC9479,00001202110080000002033,2021-10-08,2021-10-08,2021-10-22,CROCHET TRADE AND INVESTMENT PVT L,10000000,1,6405134,Paid
TL14303,00001202110080000001997,2021-10-08,2021-10-08,2021-10-22,HITESH D SHAH,1000000,1,6405134,Paid
TL14301,00001202110080000001997,2021-10-08,2021-10-08,2021-10-22,HITESH D SHAH,1000000,1,6405134,Paid
OL29547,00001202110080000001997,2021-10-08,2021-10-08,2021-10-22,HITESH D SHAH,100000,1,6405134,Paid
OL29541,00001202110080000001997,2021-10-08,2021-10-08,2021-10-22,HITESH D SHAH,100000,1,6405134,Paid
OL29545,00001202110080000001997,2021-10-08,2021-10-08,2021-10-22,HITESH D SHAH,100000,1,6405134,Paid
OL29543,00001202110080000001997,2021-10-08,2021-10-08,2021-10-22,HITESH D SHAH,100000,1,6405134,Paid
OL29549,00001202110080000001997,2021-10-08,2021-10-08,2021-10-22,HITESH D SHAH,100000,1,6405134,Paid
OC9442,00001202110080000002018,2021-10-08,2021-10-08,2021-10-22,IFB AGRO INDUSTRIES LIMITED,10000000,1,6405134,Paid
OC9446,00001202110080000002018,2021-10-08,2021-10-08,2021-10-22,IFB AGRO INDUSTRIES LIMITED,10000000,1,6405134,Paid
OC9448,00001202110080000002018,2021-10-08,2021-10-08,2021-10-22,IFB AGRO INDUSTRIES LIMITED,10000000,1,6405134,Paid
OC9444,00001202110080000002018,2021-10-08,2021-10-08,2021-10-22,IFB AGRO INDUSTRIES LIMITED,10000000,1,6405134,Paid
OC9424,00001202110080000002019,2021-10-08,2021-10-08,2021-10-22,IFB AGRO INDUSTRIES LIMITED,10000000,1,6405134,Paid
OC9437,00001202110080000002019,2021-10-08,2021-10-08,2021-10-22,IFB AGRO INDUSTRIES LIMITED,10000000,1,6405134,Paid
OC9435,00001202110080000002019,2021-10-08,2021-10-08,2021-10-22,IFB AGRO INDUSTRIES LIMITED,10000000,1,6405134,Paid
OC9443,00001202110080000002020,2021-10-08,2021-10-08,2021-10-22,IFB AGRO INDUSTRIES LIMITED,10000000,1,6405134,Paid
OC9436,00001202110080000002020,2021-10-08,2021-10-08,2021-10-22,IFB AGRO INDUSTRIES LIMITED,10000000,1,6405134,Paid
OC9434,00001202110080000002020,2021-10-08,2021-10-08,2021-10-22,IFB AGRO INDUSTRIES LIMITED,10000000,1,6405134,Paid
OC9438,00001202110080000002020,2021-10-08,2021-10-08,2021-10-22,IFB AGRO INDUSTRIES LIMITED,10000000,1,6405134,Paid
OC9440,00001202110080000002020,2021-10-08,2021-10-08,2021-10-22,IFB AGRO INDUSTRIES LIMITED,10000000,1,6405134,Paid
OC9266,00691202110080000002005,2021-10-08,2021-10-08,2021-10-22,J.K.CEMENT LTD.,10000000,691,3428540,Paid
OC9270,00691202110080000002005,2021-10-08,2021-10-08,2021-10-22,J.K.CEMENT LTD.,10000000,691,3428540,Paid
OC9272,00691202110080000002005,2021-10-08,2021-10-08,2021-10-22,J.K.CEMENT LTD.,10000000,691,3428540,Paid
OC9268,00691202110080000002005,2021-10-08,2021-10-08,2021-10-22,J.K.CEMENT LTD.,10000000,691,3428540,Paid
TL12799,00691202110080000002005,2021-10-08,2021-10-08,2021-10-22,J.K.CEMENT LTD.,1000000,691,3428540,Paid
TL13568,00691202110080000002005,2021-10-08,2021-10-08,2021-10-22,J.K.CEMENT LTD.,1000000,691,3428540,Paid
TL12793,00691202110080000002005,2021-10-08,2021-10-08,2021-10-22,J.K.CEMENT LTD.,1000000,691,3428540,Paid
TL12795,00691202110080000002005,2021-10-08,2021-10-08,2021-10-22,J.K.CEMENT LTD.,1000000,691,3428540,Paid
TL13566,00691202110080000002005,2021-10-08,2021-10-08,2021-10-22,J.K.CEMENT LTD.,1000000,691,3428540,Paid
TL12797,00691202110080000002005,2021-10-08,2021-10-08,2021-10-22,J.K.CEMENT LTD.,1000000,691,3428540,Paid
TL13562,00691202110080000002005,2021-10-08,2021-10-08,2021-10-22,J.K.CEMENT LTD.,1000000,691,3428540,Paid
TL12791,00691202110080000002005,2021-10-08,2021-10-08,2021-10-22,J.K.CEMENT LTD.,1000000,691,3428540,Paid
TL13570,00691202110080000002005,2021-10-08,2021-10-08,2021-10-22,J.K.CEMENT LTD.,1000000,691,3428540,Paid
TL13564,00691202110080000002005,2021-10-08,2021-10-08,2021-10-22,J.K.CEMENT LTD.,1000000,691,3428540,Paid
OC9422,00001202110080000002017,2021-10-08,2021-10-08,2021-10-22,M/S. K.D. LIQUOR  FERTILIZER PRIVATE L,10000000,1,6405134,Paid
OC9420,00001202110080000002017,2021-10-08,2021-10-08,2021-10-22,M/S. K.D. LIQUOR  FERTILIZER PRIVATE L,10000000,1,6405134,Paid
OL29557,00001202110080000002003,2021-10-08,2021-10-08,2021-10-22,MANISH KUMAR KHAKHOLIA,100000,1,6405134,Paid
OL29555,00001202110080000002003,2021-10-08,2021-10-08,2021-10-22,MANISH KUMAR KHAKHOLIA,100000,1,6405134,Paid
OL29553,00001202110080000002003,2021-10-08,2021-10-08,2021-10-22,MANISH KUMAR KHAKHOLIA,100000,1,6405134,Paid
OL29559,00001202110080000002003,2021-10-08,2021-10-08,2021-10-22,MANISH KUMAR KHAKHOLIA,100000,1,6405134,Paid
OL29311,00001202110080000002027,2021-10-08,2021-10-08,2021-10-22,MANOJ KUMAR AGARWAL,100000,1,6405134,Paid
OL29313,00001202110080000002027,2021-10-08,2021-10-08,2021-10-22,MANOJ KUMAR AGARWAL,100000,1,6405134,Paid
OC9530,00847202110080000001996,2021-10-08,2021-10-08,2021-10-22,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,6417329,Paid
OC9533,00847202110080000001996,2021-10-08,2021-10-08,2021-10-22,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,6417329,Paid
OC9539,00847202110080000001996,2021-10-08,2021-10-08,2021-10-22,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,6417329,Paid
OC9544,00847202110080000001996,2021-10-08,2021-10-08,2021-10-22,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,6417329,Paid
OC9531,00847202110080000001996,2021-10-08,2021-10-08,2021-10-22,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,6417329,Paid
OC9536,00847202110080000001996,2021-10-08,2021-10-08,2021-10-22,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,6417329,Paid
OC9535,00847202110080000001996,2021-10-08,2021-10-08,2021-10-22,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,6417329,Paid
OC9549,00847202110080000001996,2021-10-08,2021-10-08,2021-10-22,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,6417329,Paid
OC9534,00847202110080000001996,2021-10-08,2021-10-08,2021-10-22,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,6417329,Paid
OC9543,00847202110080000001996,2021-10-08,2021-10-08,2021-10-22,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,6417329,Paid
OC9526,00847202110080000001996,2021-10-08,2021-10-08,2021-10-22,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,6417329,Paid
OC9547,00847202110080000001996,2021-10-08,2021-10-08,2021-10-22,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,6417329,Paid
OC9546,00847202110080000001996,2021-10-08,2021-10-08,2021-10-22,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,6417329,Paid
OC9529,00847202110080000001996,2021-10-08,2021-10-08,2021-10-22,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,6417329,Paid
OC9542,00847202110080000001996,2021-10-08,2021-10-08,2021-10-22,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,6417329,Paid
OC9538,00847202110080000001996,2021-10-08,2021-10-08,2021-10-22,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,6417329,Paid
OC9532,00847202110080000001996,2021-10-08,2021-10-08,2021-10-22,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,6417329,Paid
OC9545,00847202110080000001996,2021-10-08,2021-10-08,2021-10-22,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,6417329,Paid
OC9540,00847202110080000001996,2021-10-08,2021-10-08,2021-10-22,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,6417329,Paid
OC9548,00847202110080000001996,2021-10-08,2021-10-08,2021-10-22,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,6417329,Paid
OC9527,00847202110080000001996,2021-10-08,2021-10-08,2021-10-22,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,6417329,Paid
OC9550,00847202110080000001996,2021-10-08,2021-10-08,2021-10-22,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,6417329,Paid
OC9528,00847202110080000001996,2021-10-08,2021-10-08,2021-10-22,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,6417329,Paid
OC9537,00847202110080000001996,2021-10-08,2021-10-08,2021-10-22,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,6417329,Paid
